Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3QKXo5IoMxnVwNm2bMRiVc,"Animals (Pt. I) [with Eminem]","GDLU (Preluxe)","JID;Eminem",2025-07-04,348144,55,true,226w3phs7mjprjolyqjkylp3q,2025-07-04T20:54:22Z,"rap,hip hop","Dreamville/Interscope Records",0.672,0.8,2,-4.744,1,0.283,0.0975,0,0.0563,0.265,109.434,5
spotify:track:1APoykMkL5FUMFnjkQ4del,"Trap Door","Trap Door","Dance Gavin Dance",2025-07-08,262368,41,false,226w3phs7mjprjolyqjkylp3q,2025-07-09T05:06:46Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.377,0.984,7,-2.307,1,0.176,0.00058,0,0.277,0.334,198.044,4
spotify:track:5DTqcZlVd7HmXxRAIcWKZo,"Carpet","K1","kmoe",2025-06-06,240127,40,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:54:06Z,"hyperpop,glitch","deadAir",0.562,0.8,5,-5.169,1,0.0538,0.0658,0.00285,0.118,0.258,137.918,4
spotify:track:40WLAegRTL6PuZexdJiCYI,"hardheaded","backroads","Samara Cyn",2025-06-20,131069,44,true,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:54:21Z,"","VANTA Music/VANTA Records",0.81,0.729,7,-7.3,0,0.131,0.39,0.00000411,0.243,0.374,120.035,4
spotify:track:6lrDckuosGpwEHtm1hHBcf,"November Has Come","Demon Days","Gorillaz;MF DOOM",2005-05-23,165093,69,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:54:48Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Parlophone UK",0.702,0.567,7,-8.561,1,0.239,0.0815,0.0000275,0.0864,0.667,84.153,4
spotify:track:3lPr8ghNDBLc2uZovNyLs9,"Supermassive Black Hole","Black Holes and Revelations","Muse",2006-06-28,212439,81,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:54:53Z,"alternative rock,rock","Warner Records",0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120,4
spotify:track:0d28khcov6AiegSCpG5TuT,"Feel Good Inc.","Demon Days","Gorillaz;De La Soul",2005-05-23,222640,90,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:54:58Z,"jazz rap,east coast hip hop","Parlophone UK",0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
spotify:track:4zhdSsssstuVDXyGDb3pYi,"Bodies","Bodies","Offset;JID",2025-06-20,178708,66,true,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:55:02Z,"","Motown Records",0.865,0.726,9,-4.135,1,0.18,0.113,0,0.309,0.229,135.023,4
spotify:track:3uquVUpmjDwTsLvbg8YtmK,"off a few","off a few","8rae",2023-04-07,155538,49,true,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:55:12Z,"","8eauty Prod. / Genius Distro",0.783,0.603,6,-8.161,1,0.0441,0.0917,0,0.0951,0.641,130.023,4
spotify:track:3VawzwYnB6Fk637uqueuZq,"everyday","everyday","Ryce;Chevy",2023-04-28,160219,51,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:55:17Z,"","Chambers Productions",0.63,0.528,2,-11.033,1,0.258,0.449,0,0.545,0.637,181.867,4
spotify:track:3FI0iAAAjmR31xpZEwbdys,"Circle With Me","Eternal Blue","Spiritbox",2021-09-17,233880,70,false,226w3phs7mjprjolyqjkylp3q,2025-07-10T22:55:26Z,"metalcore,djent,metal","Rise Records",0.422,0.874,8,-4.606,0,0.0534,0.000166,0.231,0.143,0.392,102.743,4
