Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zzcStevEtH2sUZuBzqLGO,"SKED (with Kenny Mason & Project Pat)","King Of The Mischievous South Vol. 2","Denzel Curry;Kenny Mason;Project Pat",2024-07-19,222973,53,true,,1970-01-01T00:00:00Z,"southern hip hop,crunk,gangster rap","Loma Vista Recordings",0.847,0.579,7,-6.009,1,0.12,0.000678,0.000325,0.352,0.661,154.985,4
spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Like Him (feat. Lola Young)","CHROMAKOPIA","Tyler, The Creator;Lola Young",2024-10-28,278014,85,true,,1970-01-01T00:00:00Z,"","Columbia",0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,3
spotify:track:6SdwTlnOy0hcfXmkwQrSw2,"Human Sacrifice","Atavista","Childish Gambino",2024-05-13,352725,44,false,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.315,0.711,2,-8.328,0,0.108,0.303,0.000024,0.0963,0.366,198.738,4
spotify:track:6luBKkFUt5wTwz7hpLhp12,"drive ME crazy!","Let’s Start Here.","Lil Yachty;Diana Gordon",2023-01-27,229804,73,true,,1970-01-01T00:00:00Z,"","Quality Control Music/Motown Records",0.497,0.825,10,-3.621,0,0.0925,0.172,0.00319,0.377,0.44,107.073,4
spotify:track:0QRnwEnFkjPZCk6YokFxhw,"Shame On The Devil","Dark Times","Vince Staples",2024-05-24,205287,50,true,,1970-01-01T00:00:00Z,"","Def Jam Recordings",0.711,0.503,8,-4.674,0,0.0618,0.633,0.345,0.107,0.653,134.487,4
spotify:track:3yw3m8wgRB4ptDyAvtdhq5,"Tomorrow","CHROMAKOPIA","Tyler, The Creator",2024-10-28,182326,64,true,,1970-01-01T00:00:00Z,"","Columbia",0.463,0.541,1,-6.594,1,0.0385,0.811,0.0000661,0.125,0.307,95.827,4
spotify:track:7kjL0ldXgBwZ3xOzA0WHMD,"To Be Hunted","Atavista","Childish Gambino",2024-05-13,254815,51,false,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.627,0.724,5,-6.107,0,0.0376,0.0323,0.0000191,0.608,0.499,114.988,4
spotify:track:70nmpLYSyZ58QTUzUiB1VA,"symptom of life","empathogen","WILLOW",2024-05-03,189586,50,false,,1970-01-01T00:00:00Z,"","Three Six Zero Recordings",0.583,0.835,2,-7.16,0,0.0457,0.355,0.0312,0.0785,0.438,160.049,3
spotify:track:5nujrmhLynf4yMoMtj8AQF,"Levitating (feat. DaBaby)","Future Nostalgia","Dua Lipa;DaBaby",2020-03-27,203064,81,false,,1970-01-01T00:00:00Z,"pop","Warner Records",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
spotify:track:2aYHxnMF2umAavtgBvmkY1,"Thought I Was Dead (feat. ScHoolboy Q & Santigold)","CHROMAKOPIA","Tyler, The Creator;ScHoolboy Q;Santigold",2024-10-28,207273,71,true,,1970-01-01T00:00:00Z,"","Columbia",0.77,0.859,10,-3.382,0,0.275,0.362,0,0.673,0.64,129.77,4
spotify:track:1SdqlTmK9P97PntBQrtf85,"Little Foot Big Foot (feat. Young Nudy)","Atavista","Childish Gambino;Young Nudy",2024-05-13,226551,48,false,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.785,0.727,10,-4.967,1,0.0493,0.151,0,0.137,0.672,102.001,4
spotify:track:6GkAi85HSZGqJwzYC2qXyI,"HOODLUMZ (with PlayThatBoiZay & A$AP Rocky)","King Of The Mischievous South Vol. 2","Denzel Curry;PlayThatBoiZay;A$AP Rocky",2024-07-19,129399,51,true,,1970-01-01T00:00:00Z,"rap","Loma Vista Recordings",0.688,0.838,9,-4.209,1,0.201,0.174,0,0.646,0.75,138.047,4
spotify:track:5V1iITDlPnkahkAwQNSjOu,"Utopia","Polaris","TesseracT",2015-09-18,333844,32,false,,1970-01-01T00:00:00Z,"djent,progressive metal,progressive rock,metal","Kscope",0.382,0.81,4,-7.897,0,0.0806,0.0178,0.00424,0.11,0.0663,92.563,3
spotify:track:1Uifdytv882RtTn6Gr4xAA,"Chokehold","Take Me Back To Eden","Sleep Token",2023-05-19,304023,70,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Spinefarm",0.18,0.73,0,-5.597,1,0.0581,0.0112,0.0000458,0.101,0.169,73.588,5
spotify:track:0zuTQnwbFilLGQziet34Mr,"Algorhythm","Atavista","Childish Gambino",2024-05-13,214762,44,false,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.666,0.828,2,-7.284,0,0.136,0.229,0.00113,0.0793,0.499,100.148,4
